United States - Minimum wages,,
Date,Nat. Curr. NMW,NMW
2020,"1,256.70","1,256.7 $"
2019,"1,256.70","1,256.7 $"
2018,"1,256.70","1,256.7 $"
2017,"1,256.70","1,256.7 $"
2016,"1,256.70","1,256.7 $"
2015,"1,256.70","1,256.7 $"
2014,"1,256.70","1,256.7 $"
2013,"1,256.70","1,256.7 $"
2012,"1,256.70","1,256.7 $"
2011,"1,256.70","1,256.7 $"
2010,"1,256.70","1,256.7 $"
2009,"1,135.30","1,135.3 $"
2008,"1,014.00","1,014.0 $"
2007,892.7,892.7 $
2006,892.7,892.7 $
2005,892.7,892.7 $
2004,892.7,892.7 $
2003,892.7,892.7 $
2002,892.7,892.7 $
2001,892.7,892.7 $
2000,892.7,892.7 $
1999,892.7,892.7 $
1998,892.7,892.7 $
1997,823.3,823.3 $
1996,736.7,736.7 $
1995,737,737.0 $
1994,736.7,736.7 $
1993,736.7,736.7 $
1992,736.7,736.7 $
1991,658.7,736.7 $
1990,580.7,580.7 $
1989,580.7,580.7 $
1988,580.7,580.7 $
1987,580.7,580.7 $
1986,580.7,580.7 $
1985,580.7,580.7 $
1984,580.7,580.7 $
1983,580.7,580.7 $
1982,580.7,580.7 $
1981,580.7,580.7 $
1980,537.3,537.3 $
